"","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","score","citric.acid"
"2067",6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5.54,0.42
"2068",7,0.36,0.14,11.6,0.043,35,228,0.9977,3.13,0.51,8.9,5.82,0.14
"2069",7.5,0.31,0.24,7.1,0.031,28,141,0.99397,3.16,0.38,10.6,7.29,0.24
"2070",6.4,0.34,0.2,14.9,0.06,37,162,0.9983,3.13,0.45,9,4.49,0.2
"2071",6.1,0.15,0.29,6.2,0.046,39,151,0.99471,3.6,0.44,10.6,6.91,0.29
"2072",7.4,0.2,0.29,1.7,0.047,16,100,0.99243,3.28,0.45,10.6,6.91,0.29
"2073",6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5.81,0.18
"2074",9.2,0.34,0.54,17.3,0.06,46,235,1.00182,3.08,0.61,8.8,6.58,0.54
"2075",7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7.09,0.29
"2076",7.2,0.29,0.2,7.7,0.046,51,174,0.99582,3.16,0.52,9.5,6,0.2
"2077",6.3,0.27,0.18,7.7,0.048,45,186,0.9962,3.23,0.47,9,5.43,0.18
"2078",6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,6.33,0.19
"2079",7.3,0.21,0.21,1.6,0.046,35,133,0.99466,3.38,0.46,10,6.07,0.21
"2080",7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6.11,0.54
"2081",7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5.59,0.28
"2082",7.2,0.39,0.54,1.4,0.157,34,132,0.99449,3.11,0.53,9,6.4,0.54
"2083",7.6,0.48,0.28,10.4,0.049,57,205,0.99748,3.24,0.45,9.3,5.9,0.28
"2084",6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,6.42,0.31
"2085",8.5,0.25,0.31,2.8,0.032,11,61,0.99189,3.06,0.44,11.5,6.22,0.31
"2086",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5.16,0.21
"2087",6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6.39,0.43
"2088",6.9,0.3,0.21,15.7,0.056,49,159,0.99827,3.11,0.48,9,5.61,0.21
"2089",9.4,0.42,0.32,6.5,0.027,20,167,0.99479,3.08,0.43,10.6,5.06,0.32
"2090",6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6.66,0.43
"2091",6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6.79,0.3
"2092",8.5,0.19,0.56,17.3,0.055,47,169,1.00047,3.07,0.67,9.3,6.31,0.56
"2093",7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7.6,0.25
"2094",6.7,0.25,0.26,13.5,0.06,50,156,0.99784,3.39,0.46,9.9,6.76,0.26
"2095",6.2,0.25,0.28,8.5,0.035,28,108,0.99486,3.4,0.42,10.4,6.07,0.28
"2096",6.1,0.46,0.32,6.2,0.053,10,94,0.99537,3.35,0.47,10.1,5.92,0.32
"2097",7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7.53,0.25
"2098",7.5,0.29,0.26,14.95,0.067,47,178,0.99838,3.04,0.49,9.2,4.36,0.26
"2099",6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6.8,0.18
"2100",7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,7,0.3
"2101",6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,6.17,0.18
"2102",7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5.85,0.52
"2103",6.4,0.16,0.25,1.3,0.047,20,77,0.9933,3.61,0.54,10.2,6.86,0.25
"2104",6.3,0.16,0.22,1.3,0.046,18,66,0.99307,3.61,0.55,10.3,6.37,0.22
"2105",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.27,0.26
"2106",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.06,0.26
"2107",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.03,0.26
"2108",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.15,0.26
"2109",6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5.1,0.24
"2110",6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5.77,0.23
"2111",7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5.1,0.26
"2112",7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7.67,0.28
"2113",7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7.95,0.24
"2114",8.6,0.17,0.28,2.7,0.047,38,150,0.99365,3.1,0.56,10.8,6.96,0.28
"2115",6.5,0.32,0.23,1.2,0.054,39,208,0.99272,3.18,0.46,9.9,6.12,0.23
"2116",7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7.89,0.28
"2117",7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7.64,0.31
"2118",7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10,6.32,0.19
"2119",6.9,0.28,0.31,7.2,0.04,47,168,0.9946,3.29,0.57,10.6,7.36,0.31
"2120",6.5,0.29,0.42,10.6,0.042,66,202,0.99674,3.24,0.53,9.5,6.04,0.42
"2121",6.3,0.41,0.18,3.5,0.027,23,109,0.99018,3.34,0.54,12.8,8.02,0.18
"2122",7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7.31,0.31
"2123",7.3,0.3,0.33,2.3,0.043,28,125,0.99084,3.34,0.44,12.6,7.56,0.33
"2124",6.6,0.22,0.28,12.05,0.058,25,125,0.99856,3.45,0.45,9.4,5.82,0.28
"2125",6,0.26,0.18,7,0.055,50,194,0.99591,3.21,0.43,9,5.87,0.18
"2126",6.9,0.44,0.18,11.8,0.051,26,126,0.9975,3.23,0.48,9.1,5.7,0.18
"2127",7.5,0.42,0.2,1.4,0.06,15,168,0.9944,3.06,0.4,9.4,6.52,0.2
"2128",7,0.36,0.3,5,0.04,40,143,0.99173,3.33,0.42,12.2,7.3,0.3
"2129",5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5.57,0.2
"2130",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5.19,0.3
"2131",8.1,0.28,0.34,1.3,0.035,11,126,0.99232,3.14,0.5,9.8,6.13,0.34
"2132",7,0.22,0.26,2.8,0.036,44,132,0.99078,3.34,0.41,12,7.63,0.26
"2133",9.4,0.28,0.3,1.6,0.045,36,139,0.99534,3.11,0.49,9.3,5.04,0.3
"2134",6.8,0.32,0.3,3.3,0.029,15,80,0.99061,3.33,0.63,12.6,7.79,0.3
"2135",7,0.19,0.33,6.3,0.032,42,127,0.99182,3.31,0.38,12.2,6.64,0.33
"2136",7.7,0.42,0.38,8.1,0.061,49,144,0.9966,3.4,0.58,11,6.64,0.38
"2137",7.4,0.2,0.31,1.6,0.038,34,116,0.9912,3.25,0.39,12,7.47,0.31
"2138",7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5.4,0.62
"2139",7.5,0.26,0.59,11.8,0.046,58,164,0.99814,3.17,0.46,8.9,4.79,0.59
"2140",6.6,0.4,0.32,1.7,0.035,39,84,0.99096,3.59,0.48,12.7,7.11,0.32
"2141",8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6.74,0.3
"2142",4.6,0.445,NA,1.4,0.053,11,178,0.99426,3.79,0.55,10.2,5.31,0
"2143",6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6.14,0.04
"2144",7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,6.54,0.34
"2145",6.9,0.3,0.21,7.2,0.045,54,190,0.99595,3.22,0.48,9.4,5.93,0.21
"2146",7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6.75,0.17
"2147",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5.66,0.55
"2148",7,0.35,0.17,1.1,0.049,7,119,0.99297,3.13,0.36,9.7,6.4,0.17
"2149",6.9,0.35,0.55,11.95,0.038,22,111,0.99687,3.11,0.29,9.7,5.89,0.55
"2150",7.6,0.3,0.4,2.2,0.054,29,175,0.99445,3.19,0.53,9.8,5.98,0.4
"2151",7.5,0.38,0.29,12.7,0.05,25,209,0.9986,3.25,0.59,9.3,6.77,0.29
"2152",6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6.79,0.32
"2153",6.8,0.37,0.28,1.9,0.024,64,106,0.98993,3.45,0.6,12.6,8.09,0.28
"2154",7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,5.85,0.35
"2155",8.3,0.27,0.34,10.2,0.048,50,118,0.99716,3.18,0.51,10.3,5.74,0.34
"2156",6.8,0.26,0.22,4.8,0.041,110,198,0.99437,3.29,0.67,10.6,5.86,0.22
"2157",6.5,0.28,0.35,9.8,0.067,61,180,0.9972,3.15,0.57,9,4.12,0.35
"2158",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5.2,0.3
"2159",7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6.7,0.26
"2160",7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6.08,0.29
"2161",7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5.47,0.3
"2162",7.7,0.4,0.27,4.5,0.034,27,95,0.99175,3.21,0.59,12.3,8.95,0.27
"2163",6.7,0.17,0.27,1.4,0.032,39,149,0.99254,3.4,0.52,10.5,5.95,0.27
"2164",7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6,0.26
"2165",8.1,0.24,0.26,11,0.043,41,211,0.99676,3.11,0.49,10,6.65,0.26
"2166",7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4.82,0.63
"2167",7.5,0.23,0.29,2.6,0.031,24,98,0.99194,3,0.54,10.9,7,0.29
"2168",7.9,0.46,0.4,10.1,0.168,19,184,0.99782,3.06,0.62,9.5,5.13,0.4
"2169",7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10,5.65,0.22
"2170",7.9,0.25,0.34,11.4,0.04,53,202,0.99708,3.11,0.57,9.6,6.24,0.34
"2171",6.1,0.28,0.16,1.3,0.06,36,126,0.99353,3.13,0.46,8.7,6.51,0.16
"2172",7,0.18,0.26,1.4,0.044,46,89,0.99256,3.39,0.48,10.7,7.38,0.26
"2173",6.5,0.21,0.28,1.4,0.046,26,66,0.99199,3.43,0.48,11.1,6.45,0.28
"2174",7.6,0.48,0.33,7,0.024,14,130,0.9918,3.25,0.45,12.5,7.86,0.33
"2175",7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,6.97,0.32
"2176",8.9,0.21,0.37,1.2,0.028,20,93,0.99244,3.2,0.37,11.5,5.03,0.37
"2177",7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5.89,0.27
"2178",6,0.495,0.27,5,0.157,17,129,0.99396,3.03,0.36,9.3,5.15,0.27
"2179",8.1,0.25,0.34,10.1,0.05,30,121,0.99724,3.17,0.49,10.1,6.63,0.34
"2180",8.2,0.25,0.46,3.75,0.05,14,102,0.99524,3.28,0.58,9.7,5.83,0.46
"2181",6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6.53,0.29
"2182",6.7,0.24,0.26,12.6,0.053,44,182,0.99802,3.42,0.42,9.7,5.64,0.26
"2183",6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5.85,0.24
"2184",7.6,0.32,0.35,1.6,0.092,24,138,0.99438,3.19,0.44,9.8,5.9,0.35
"2185",7.4,0.33,0.44,7.6,0.05,40,227,0.99679,3.12,0.52,9,5.67,0.44
"2186",7.2,0.3,0.3,8.1,0.05,40,188,0.99652,3.15,0.49,9.1,6.11,0.3
"2187",7.4,0.34,0.3,14.9,0.037,70,169,0.99698,3.25,0.37,10.4,6.48,0.3
"2188",6.1,0.16,0.29,6,0.03,29,144,0.99474,3.68,0.46,10.7,6.67,0.29
"2189",6.3,0.1,0.24,6,0.039,25,107,0.99511,3.59,0.49,10.5,7.99,0.24
"2190",6.2,0.45,0.73,7.2,0.099,47,202,0.99582,3.21,0.43,9.2,5.02,0.73
"2191",6,0.33,0.18,3,0.036,5,85,0.99125,3.28,0.4,11.5,4.28,0.18
"2192",7.6,0.48,0.37,1.2,0.034,5,57,0.99256,3.05,0.54,10.4,3.11,0.37
"2193",7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6.01,0.3
"2194",7,0.32,0.29,4.9,0.036,41,150,0.99168,3.38,0.43,12.2,6.71,0.29
"2195",7.2,0.2,0.3,2,0.039,43,188,0.9911,3.3,0.41,12,6.24,0.3
"2196",7,0.22,0.29,8.9,0.05,24,90,0.99556,3.29,0.46,9.8,6.63,0.29
"2197",9.4,0.23,0.56,16.45,0.063,52.5,282,1.00098,3.1,0.51,9.3,5.91,0.56
"2198",6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4.02,0.19
"2199",6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4.81,0.19
"2200",7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6.55,0.42
"2201",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8.14,0.28
"2202",6.7,0.26,0.29,5.8,0.025,26,74,0.9929,3.28,0.53,11,6.07,0.29
"2203",6.9,0.15,0.28,4.4,0.029,14,107,0.99347,3.24,0.46,10.4,8.96,0.28
"2204",7.6,0.2,0.68,12.9,0.042,56,160,0.99841,3.05,0.41,8.7,5.88,0.68
"2205",6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4.14,0.29
"2206",6.9,0.3,0.3,1.3,0.053,24,186,0.99361,3.29,0.54,9.9,4.44,0.3
"2207",7.6,0.21,0.35,1.2,0.041,7,106,0.9914,3.06,0.45,11.3,4,0.35
"2208",6.8,0.46,0.26,2.7,0.042,28,83,0.99114,3.38,0.51,12,8.2,0.26
"2209",7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,8.68,0.26
"2210",6.5,0.24,0.29,8.2,0.043,32,156,0.99453,3.13,0.7,10.1,6.26,0.29
"2211",6.4,0.17,0.34,1.5,0.091,42,135,0.9938,3.25,0.49,9.6,7.74,0.34
"2212",6.4,0.17,0.34,1.5,0.093,43,136,0.9938,3.25,0.49,9.6,6.72,0.34
"2213",6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5.79,0.55
"2214",7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5.83,0.29
"2215",6.5,0.19,0.27,4.9,0.037,13,101,0.9916,3.17,0.41,11.8,6.89,0.27
"2216",8,0.36,0.39,1.6,0.024,26,93,0.99116,3.15,0.49,11.9,6.81,0.39
"2217",6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,6.54,0.24
"2218",9.2,0.19,0.42,2,0.047,16,104,0.99517,3.09,0.66,10,4.46,0.42
"2219",9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4.76,0.49
"2220",8,0.26,0.28,8.2,0.038,72,202,0.99566,3.12,0.56,10,6.92,0.28
"2221",9.8,0.16,0.46,1.8,0.046,23,130,0.99587,3.04,0.67,9.6,5.21,0.46
"2222",6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5.24,0.18
"2223",7.9,0.44,0.26,4.45,0.033,23,100,0.99117,3.17,0.52,12.7,6.35,0.26
"2224",7.6,0.31,0.27,5.8,0.036,23,109,0.99399,3.34,0.54,11,6,0.27
"2225",7.5,0.705,0.1,13,0.044,44,214,0.99741,3.1,0.5,9.1,5.26,0.1
"2226",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4.16,0.28
"2227",7,0.16,0.26,7.3,0.047,30,220,0.99622,3.38,0.58,10.1,6.96,0.26
"2228",8,0.27,0.25,19.1,0.045,50,208,1.00051,3.05,0.5,9.2,6.17,0.25
"2229",6.3,0.38,0.17,8.8,0.08,50,212,0.99803,3.47,0.66,9.4,4.1,0.17
"2230",7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4.36,0.28
"2231",6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4.68,0.18
"2232",7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6.33,0.26
"2233",7.3,0.815,0.09,11.4,0.044,45,204,0.99713,3.15,0.46,9,5.1,0.09
"2234",6.3,0.41,0.16,0.9,0.032,25,98,0.99274,3.16,0.42,9.5,5.97,0.16
"2235",6.1,0.36,0.41,19.35,0.07,67,207,1.00118,3.39,0.53,9.1,5.51,0.41
"2236",8.1,0.4,0.32,7.9,0.031,23,118,0.99176,3.05,0.46,13.3,7.07,0.32
"2237",6.8,0.26,0.43,11.75,0.045,53,198,0.9969,3.26,0.55,9.5,5.89,0.43
"2238",6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5.78,0.18
"2239",7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6.06,0.29
"2240",6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5.3,0.18
"2241",7.2,0.24,0.29,3,0.036,17,117,0.99411,3.36,0.68,10.1,6.19,0.29
"2242",7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6.8,0.26
"2243",8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6.4,0.28
"2244",7.3,0.22,0.26,1.5,0.04,32,172,0.99194,3.27,0.48,11.2,6.37,0.26
"2245",8.1,0.34,0.28,7.5,0.04,70,230,0.99558,3.14,0.55,9.8,6.77,0.28
"2246",6.4,0.28,0.17,8.3,0.042,61,195,0.99577,3.22,0.46,9.4,5.27,0.17
"2247",6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9,5.12,0.14
"2248",6.4,0.27,0.17,8.4,0.044,60,198,0.99578,3.21,0.47,9.4,5.66,0.17
"2249",7.4,0.35,0.2,13.9,0.054,63,229,0.99888,3.11,0.5,8.9,6.69,0.2
"2250",8.3,0.28,0.27,17.5,0.045,48,253,1.00014,3.02,0.56,9.1,6.26,0.27
"2251",6.4,0.35,0.35,5.6,0.034,9,148,0.99441,3.17,0.5,9.8,4.48,0.35
"2252",6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5.74,0.28
"2253",8,0.26,0.28,4.8,0.05,34,150,0.99437,3.13,0.5,10,6.76,0.28
"2254",6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5.63,0.28
"2255",7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6.07,0.37
"2256",6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10,5.27,0.26
"2257",7.2,0.2,0.28,1.6,0.028,13,168,0.99203,3.17,1.06,11.5,6.11,0.28
"2258",7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5.9,0.32
"2259",6.6,0.32,0.33,2.5,0.052,40,219.5,0.99316,3.15,0.6,10,5.97,0.33
"2260",7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,5.82,0.32
"2261",6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10,5.28,0.34
"2262",6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10,5.63,0.33
"2263",6.5,0.27,0.26,8.2,0.042,21,133,0.99612,3.43,0.64,9.8,6.95,0.26
"2264",6.6,0.26,0.27,1.5,0.04,19,114,0.99295,3.36,0.62,10.5,6.38,0.27
"2265",6.7,0.27,0.26,2.3,0.043,61,181,0.99394,3.45,0.63,10.6,6.96,0.26
"2266",6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5.65,0.15
"2267",6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,5.3,0.15
"2268",7.3,0.19,0.27,1.6,0.027,35,136,0.99248,3.38,0.54,11,7,0.27
"2269",6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6.46,0.26
"2270",7.1,0.29,0.3,16,0.036,58,201,0.99954,3.3,0.67,9,5.95,0.3
"2271",7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6.22,0.33
"2272",8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6.13,0.36
"2273",8.1,0.33,0.36,7.4,0.037,36,156,0.99592,3.19,0.54,10.6,6.65,0.36
"2274",7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,6.71,0.33
"2275",6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5.73,0.24
"2276",6.6,0.33,0.24,16.05,0.045,31,147,0.99822,3.08,0.52,9.2,5.77,0.24
"2277",7,0.26,0.26,10.8,0.039,37,184,0.99787,3.47,0.58,10.3,7.13,0.26
"2278",6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,6,0.15
"2279",7,0.28,0.32,1.7,0.038,27,128,0.99375,3.2,0.62,10.2,6.15,0.32
"2280",5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6.11,0.34
"2281",6.8,0.34,0.1,1.4,0.049,29,118,0.9936,3.21,0.41,9.5,5.21,0.1
"2282",7.6,0.25,0.34,1.3,0.056,34,176,0.99434,3.1,0.51,9.5,5.9,0.34
"2283",5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7.11,0.4
"2284",8.8,0.24,0.23,10.3,0.032,12,97,0.99571,3.13,0.4,10.7,6.62,0.23
"2285",6,0.29,0.21,15.55,0.043,20,142,0.99658,3.11,0.54,10.1,6.12,0.21
"2286",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7.75,0.31
"2287",7.4,0.56,0.09,1.5,0.071,19,117,0.99496,3.22,0.53,9.8,5.66,0.09
"2288",6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6.35,0.49
"2289",6.1,0.27,0.31,1.5,0.035,17,83,0.99076,3.32,0.44,11.1,7.89,0.31
"2290",6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6.4,0.37
"2291",6.6,0.24,0.3,13,0.052,18,143,0.99825,3.37,0.49,9.4,6.7,0.3
"2292",6.8,0.32,0.3,1,0.049,22,113,0.99289,3.24,0.61,10.2,5.87,0.3
"2293",6.4,0.37,0.37,4.85,0.041,39.5,216.5,0.99432,3.1,0.5,9.8,6.17,0.37
"2294",6.2,0.26,0.37,7.1,0.047,54,201,0.99523,3.19,0.48,9.5,6.28,0.37
"2295",6.3,0.27,0.37,7.9,0.047,58,215,0.99542,3.19,0.48,9.5,6.08,0.37
"2296",6.4,0.3,0.16,7.5,0.05,55,191,0.9959,3.17,0.49,9,5.45,0.16
"2297",8,0.28,0.32,7.6,0.045,61,204,0.99543,3.1,0.55,10.1,6.61,0.32
"2298",6.7,0.24,0.32,10.3,0.079,37,122,0.99662,3.02,0.45,8.8,5.4,0.32
"2299",6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6.36,0.24
"2300",7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6.16,0.49
"2301",6,0.2,0.24,5.3,0.075,49,201,0.99466,3.21,0.43,9.5,5.94,0.24
"2302",6.1,0.28,0.24,19.95,0.074,32,174,0.99922,3.19,0.44,9.3,6.81,0.24
"2303",7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4.59,0.23
"2304",7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4.98,0.23
"2305",6.3,0.18,0.22,1.5,0.043,45,155,0.99238,3.19,0.48,10.2,5.53,0.22
"2306",8.6,0.23,0.25,11.3,0.031,13,96,0.99645,3.11,0.4,10.8,5.81,0.25
"2307",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5.39,0.36
"2308",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5.7,0.36
"2309",6.9,0.26,0.31,7,0.039,37,175,0.99376,3.32,0.49,11.4,6.7,0.31
"2310",6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5.09,0.36
"2311",6.4,0.31,0.4,6.4,0.039,39,191,0.99513,3.14,0.52,9.8,5.08,0.4
"2312",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4.73,0.36
"2313",8.6,0.34,0.36,1.4,0.045,11,119,0.99556,3.17,0.47,9.4,4.32,0.36
"2314",8.5,0.3,0.28,3.1,0.054,54,174,0.99543,3.21,0.43,9.4,6.12,0.28
"2315",7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,6.4,0.41
"2316",6.6,0.32,0.34,7.7,0.044,63,212,0.99526,3.22,0.48,9.7,6.92,0.34
"2317",7.1,0.34,0.31,5.2,0.032,36,140,0.99166,3.35,0.47,12.3,7.27,0.31
"2318",6.6,0.26,0.25,11.6,0.045,45,178,0.99691,3.33,0.43,9.8,6.13,0.25
"2319",8,0.27,0.57,10.4,0.053,18,134,0.99732,3.12,0.68,9,5.73,0.57
"2320",6.2,0.28,0.45,7.5,0.045,46,203,0.99573,3.26,0.46,9.2,6.48,0.45
"2321",6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,6.63,0.49
"2322",5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6.94,0.29
"2323",6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5.72,0.36
"2324",6.9,0.34,0.3,4.7,0.029,34,148,0.99165,3.36,0.49,12.3,7.38,0.3
"2325",7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7.5,0.3
"2326",7.1,0.32,0.29,4,0.038,33,170,0.99463,3.27,0.64,10.2,6.58,0.29
"2327",7.3,0.51,0.29,11.3,0.034,61,224,0.99683,3.14,0.56,9.5,6.38,0.29
"2328",7.1,0.12,0.3,3.1,0.018,15,37,0.99004,3.02,0.52,11.9,7.86,0.3
"2329",6.3,0.24,0.55,8.1,0.04,67,216,0.99596,3.24,0.5,9.2,5.06,0.55
"2330",7.5,0.41,0.23,14.8,0.054,28,174,0.99898,3.18,0.49,9.7,5.69,0.23
"2331",6.5,0.18,0.33,1.4,0.029,35,138,0.99114,3.36,0.6,11.5,7.86,0.33
"2332",7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8.4,0.24
