"","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","high_quality","citric.acid"
"567",8.8,0.47,0.49,2.9,0.085,17,110,0.9982,3.29,0.6,9.8,0,0.49
"568",10.6,0.31,0.49,2.2,0.063,18,40,0.9976,3.14,0.51,9.8,1,0.49
"569",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,0,0.49
"570",12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,0,0.49
"571",11.7,0.49,0.49,2.2,0.083,5,15,1,3.19,0.43,9.2,0,0.49
"572",11.8,0.33,0.49,3.4,0.093,54,80,1.0002,3.3,0.76,10.7,1,0.49
"573",7.6,0.51,0.24,2.4,0.091,8,38,0.998,3.47,0.66,9.6,1,0.24
"574",11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,1,0.49
"575",7.3,0.73,0.24,1.9,0.108,18,102,0.9967,3.26,0.59,9.3,0,0.24
"576",5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,14,1,0.24
"577",10.2,0.29,0.49,2.6,0.059,5,13,0.9976,3.05,0.74,10.5,1,0.49
"578",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,0,0.49
"579",6.6,0.39,0.49,1.7,0.07,23,149,0.9922,3.12,0.5,11.5,1,0.49
"580",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,0,0.49
"581",9.9,0.49,0.58,3.5,0.094,9,43,1.0004,3.29,0.58,9,0,0.58
"582",7.9,0.72,0.17,2.6,0.096,20,38,0.9978,3.4,0.53,9.5,0,0.17
"583",8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,0,0.41
"584",12.4,0.4,0.51,2,0.059,6,24,0.9994,3.04,0.6,9.3,1,0.51
"585",11.9,0.58,0.58,1.9,0.071,5,18,0.998,3.09,0.63,10,1,0.58
"586",8.5,0.585,0.18,2.1,0.078,5,30,0.9967,3.2,0.48,9.8,1,0.18
"587",12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,1,0.45
"588",8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,0,0.27
"589",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,1,0.52
"590",7.7,0.835,NA,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,0,0
"591",13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,1,0.52
"592",8.3,0.58,0.13,2.9,0.096,14,63,0.9984,3.17,0.62,9.1,1,0.13
"593",8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,1,0.13
"594",9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,1,0.48
"595",8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,1,0.41
"596",10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,1,0.37
"597",6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,1,0.19
"598",8.8,0.24,0.54,2.5,0.083,25,57,0.9983,3.39,0.54,9.2,0,0.54
"599",7.5,0.64,NA,2.4,0.077,18,29,0.9965,3.32,0.6,10,1,0
"600",8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,0,0.38
"601",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,0,0.5
"602",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,0,0.5
"603",11.5,0.31,0.51,2.2,0.079,14,28,0.9982,3.03,0.93,9.8,1,0.51
"604",11.4,0.46,0.5,2.7,0.122,4,17,1.0006,3.13,0.7,10.2,0,0.5
"605",11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,0,0.41
"606",8.3,0.54,0.24,3.4,0.076,16,112,0.9976,3.27,0.61,9.4,0,0.24
"607",8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,0,0.23
"608",10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,0,0.22
"609",7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,1,0.25
"610",6.8,0.69,NA,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,0,0
"611",6.8,0.69,NA,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,0,0
"612",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,0,0.29
"613",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,0,0.29
"614",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,1,0.26
"615",7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,0,0.23
"616",8.7,0.54,0.26,2.5,0.097,7,31,0.9976,3.27,0.6,9.3,1,0.26
"617",10.4,0.28,0.54,2.7,0.105,5,19,0.9988,3.25,0.63,9.5,0,0.54
"618",7.6,0.41,0.14,3,0.087,21,43,0.9964,3.32,0.57,10.5,1,0.14
"619",10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,0,0.22
"620",7.9,0.35,0.21,1.9,0.073,46,102,0.9964,3.27,0.58,9.5,0,0.21
"621",8.7,0.84,NA,1.4,0.065,24,33,0.9954,3.27,0.55,9.7,0,0
"622",9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,0,0.28
"623",9.5,0.885,0.27,2.3,0.084,31,145,0.9978,3.24,0.53,9.4,0,0.27
"624",7.7,0.915,0.12,2.2,0.143,7,23,0.9964,3.35,0.65,10.2,1,0.12
"625",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,1,0.35
"626",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0,0.45
"627",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,0,0.44
"628",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0,0.45
"629",9.5,0.59,0.44,2.3,0.071,21,68,0.9992,3.46,0.63,9.5,0,0.44
"630",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0,0.45
"631",7.8,0.64,0.1,6,0.115,5,11,0.9984,3.37,0.69,10.1,1,0.1
"632",7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,0,0.05
"633",8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,0,0.01
"634",8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,1,0.3
"635",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,1,0.27
"636",9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,0,0.25
"637",9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,1,0.59
"638",8.6,0.47,0.47,2.4,0.074,7,29,0.9979,3.08,0.46,9.5,0,0.47
"639",9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,0,0.17
"640",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,1,0.07
"641",7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,0,0.02
"642",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,1,0.07
"643",7.5,0.42,0.31,1.6,0.08,15,42,0.9978,3.31,0.64,9,0,0.31
"644",7.2,0.57,0.06,1.6,0.076,9,27,0.9972,3.36,0.7,9.6,1,0.06
"645",10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,1,0.46
"646",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,0,0.52
"647",9.4,0.59,0.14,2,0.084,25,48,0.9981,3.14,0.56,9.7,0,0.14
"648",8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,1,0.36
"649",10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,0,0.43
"650",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,0,0.24
"651",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,0,0.21
"652",9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,0,0.34
"653",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,0,0.21
"654",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,1,0.41
"655",9.3,0.41,0.39,2.2,0.064,12,31,0.9984,3.26,0.65,10.2,0,0.39
"656",10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,1,0.41
"657",8.6,0.8,0.11,2.3,0.084,12,31,0.9979,3.4,0.48,9.9,0,0.11
"658",8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,0,0.1
"659",10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,0,0.45
"660",13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,0,0.58
"661",8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,1,0.23
"662",8.5,0.46,0.31,2.25,0.078,32,58,0.998,3.33,0.54,9.8,0,0.31
"663",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,0,0.23
"664",9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,0,0.32
"665",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,0,0.23
"666",7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,0,0.18
"667",9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,0,0.23
"668",7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,0,0.04
"669",8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,0,0.48
"670",7.4,1.185,NA,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,0,0
"671",9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,0,0.24
"672",8.6,0.49,0.51,2,0.422,16,62,0.9979,3.03,1.17,9,0,0.51
"673",9,0.48,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,0,0.32
"674",9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,0,0.31
"675",5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,1,0.02
"676",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,1,0.02
"677",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,1,0.02
"678",9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,0,0.28
"679",11.8,0.38,0.55,2.1,0.071,5,19,0.9986,3.11,0.62,10.8,1,0.55
"680",10.6,1.02,0.43,2.9,0.076,26,88,0.9984,3.08,0.57,10.1,1,0.43
"681",7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,1,0.02
"682",7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,1,0.02
"683",7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,0,0.48
"684",9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,0,0.04
"685",8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,0,0.15
"686",7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,0,0.08
"687",7.4,0.49,0.19,3,0.077,16,37,0.9966,3.37,0.51,10.5,0,0.19
"688",7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,1,0.12
"689",9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,1,0.47
"690",10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,0,0.43
"691",8.9,0.565,0.34,3,0.093,16,112,0.9998,3.38,0.61,9.5,0,0.34
"692",8.7,0.69,NA,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,0,0
"693",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,0,0.36
"694",9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,0,0.28
"695",7.2,0.49,0.18,2.7,0.069,13,34,0.9967,3.29,0.48,9.2,1,0.18
"696",8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,0,0.36
"697",7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,0,0.11
"698",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,0,0.04
"699",7.1,0.66,NA,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,0,0
"700",8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,0,0.04
"701",8.9,0.48,0.24,2.85,0.094,35,106,0.9982,3.1,0.53,9.2,0,0.24
"702",7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,0,0.08
"703",7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,0,0.1
"704",9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,0,0.17
"705",8.1,0.72,0.09,2.8,0.084,18,49,0.9994,3.43,0.72,11.1,1,0.09
"706",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,0,0.02
"707",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,0,0.02
"708",6.4,0.865,0.03,3.2,0.071,27,58,0.995,3.61,0.49,12.7,1,0.03
"709",9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,0,0.66
"710",8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,0,0.13
"711",7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,0,0.03
"712",7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,0,0.34
"713",7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,0,0.2
"714",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,0,0.1
"715",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,0,0.1
"716",8.2,0.59,NA,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,1,0
"717",9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,0,0.23
"718",9,0.69,NA,2.4,0.088,19,38,0.999,3.35,0.6,9.3,0,0
"719",8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,1,0.29
"720",9.2,0.53,0.24,2.6,0.078,28,139,0.99788,3.21,0.57,9.5,0,0.24
"721",6.5,0.615,NA,1.9,0.065,9,18,0.9972,3.46,0.65,9.2,0,0
"722",11.6,0.41,0.58,2.8,0.096,25,101,1.00024,3.13,0.53,10,0,0.58
"723",11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,0,0.54
"724",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,1,0.18
"725",8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,1,0.38
"726",8.6,0.33,0.4,2.6,0.083,16,68,0.99782,3.3,0.48,9.4,0,0.4
"727",7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,1,0.18
"728",7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,1,0.18
"729",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0,0.1
"730",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0,0.1
"731",7.6,0.54,0.13,2.5,0.097,24,66,0.99785,3.39,0.61,9.4,0,0.13
"732",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,0,0.1
"733",7.8,0.48,0.68,1.7,0.415,14,32,0.99656,3.09,1.06,9.1,1,0.68
"734",7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,1,0.07
"735",6.3,0.98,0.01,2,0.057,15,33,0.99488,3.6,0.46,11.2,1,0.01
"736",8.1,0.87,NA,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,0,0
"737",8.1,0.87,NA,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,0,0
"738",8.8,0.42,0.21,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,0,0.21
"739",9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,0,0.25
"740",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,0,0.26
"741",8.8,0.7,NA,1.7,0.069,8,19,0.99701,3.31,0.53,10,1,0
"742",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,0,0.26
"743",9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,1,0.11
"744",9.2,0.67,0.1,3,0.091,12,48,0.99888,3.31,0.54,9.5,1,0.1
"745",8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,0,0.18
"746",7.5,0.6,0.32,2.7,0.103,13,98,0.99938,3.45,0.62,9.5,0,0.32
"747",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,1,0.02
"748",7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,0.54,9.6,0,0.01
"749",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,1,0.02
"750",9.4,0.685,0.26,2.4,0.082,23,143,0.9978,3.28,0.55,9.4,0,0.26
"751",9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,0,0.27
"752",7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,1,0.29
"753",7.9,0.4,0.3,1.8,0.157,2,45,0.99727,3.31,0.91,9.5,1,0.3
"754",7.2,1,NA,3,0.102,7,16,0.99586,3.43,0.46,10,0,0
"755",6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,1,0.18
"756",6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,1,0.17
"757",8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,0,0.3
"758",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,0,0.03
"759",7,0.57,NA,2,0.19,12,45,0.99676,3.31,0.6,9.4,1,0
"760",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,0,0.14
"761",9,0.82,0.05,2.4,0.081,26,96,0.99814,3.36,0.53,10,0,0.05
"762",6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,0,0.14
"763",7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,0,0.01
"764",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,0,0.41
"765",9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,0,0.41
"766",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,1,0.24
"767",10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,1,0.24
"768",8.6,0.63,0.17,2.9,0.099,21,119,0.998,3.09,0.52,9.3,0,0.17
"769",7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,1,0.43
"770",8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,0,0.17
"771",7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,1,0.02
"772",7.7,0.6,NA,2.6,0.055,7,13,0.99639,3.38,0.56,10.8,1,0
"773",10.1,0.27,0.54,2.3,0.065,7,26,0.99531,3.17,0.53,12.5,1,0.54
"774",8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,0,0.31
"775",9.3,0.37,0.44,1.6,0.038,21,42,0.99526,3.24,0.81,10.8,1,0.44
"776",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,1,0.34
"777",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,1,0.34
"778",7.2,0.61,0.08,4,0.082,26,108,0.99641,3.25,0.51,9.4,0,0.08
"779",8.6,0.55,0.09,3.3,0.068,8,17,0.99735,3.23,0.44,10,0,0.09
"780",5.1,0.585,NA,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,1,0
"781",7.7,0.56,0.08,2.5,0.114,14,46,0.9971,3.24,0.66,9.6,1,0.08
"782",8.4,0.52,0.22,2.7,0.084,4,18,0.99682,3.26,0.57,9.9,1,0.22
"783",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,1,0.4
"784",8.4,0.25,0.39,2,0.041,4,10,0.99386,3.27,0.71,12.5,1,0.39
"785",8.2,0.28,0.4,2.4,0.052,4,10,0.99356,3.33,0.7,12.8,1,0.4
"786",7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,0,0.12
"787",7.6,0.48,0.31,2.8,0.07,4,15,0.99693,3.22,0.55,10.3,1,0.31
"788",7.3,0.49,0.1,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,0,0.1
"789",12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,1,0.55
"790",10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,0,0.33
"791",6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,0,0.24
"792",12.6,0.41,0.54,2.8,0.103,19,41,0.99939,3.21,0.76,11.3,1,0.54
"793",10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,0,0.33
"794",9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,1,0.19
"795",10.8,0.29,0.42,1.6,0.084,19,27,0.99545,3.28,0.73,11.9,1,0.42
"796",7.1,0.715,NA,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,0,0
"797",9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,0,0.15
"798",7,0.685,NA,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,0,0
"799",4.9,0.42,NA,2.1,0.048,16,42,0.99154,3.71,0.74,14,1,0
"800",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,0,0.13
"801",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,0,0.13
"802",7.1,0.48,0.28,2.8,0.068,6,16,0.99682,3.24,0.53,10.3,0,0.28
"803",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,0,0.14
"804",7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,1,0.34
"805",7.1,0.46,0.14,2.8,0.076,15,37,0.99624,3.36,0.49,10.7,0,0.14
"806",7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,1,0.09
"807",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,1,0.08
"808",7.5,0.685,0.07,2.5,0.058,5,9,0.99632,3.38,0.55,10.9,0,0.07
"809",5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,1,0.08
"810",10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,0,0.42
"811",11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,0,0.44
"812",8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,0,0.26
"813",7.6,0.665,0.1,1.5,0.066,27,55,0.99655,3.39,0.51,9.3,0,0.1
"814",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,1,0.28
"815",6.7,0.28,0.28,2.4,0.012,36,100,0.99064,3.26,0.39,11.7,1,0.28
"816",10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,1,0.35
"817",6,0.5,0.04,2.2,0.092,13,26,0.99647,3.46,0.47,10,0,0.04
"818",11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,1,0.47
"819",6.6,0.66,NA,3,0.115,21,31,0.99629,3.45,0.63,10.3,0,0
"820",10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,1,0.45
"821",7.1,0.685,0.35,2,0.088,9,92,0.9963,3.28,0.62,9.4,0,0.35
"822",9.9,0.25,0.46,1.7,0.062,26,42,0.9959,3.18,0.83,10.6,1,0.46
"823",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,0,0.21
"824",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,0,0.21
"825",7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,1,0.16
"826",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,0,0.21
"827",6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,0,0.21
"828",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,0,0.44
"829",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,0,0.44
"830",8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,0,0.32
"831",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,1,0.39
"832",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,1,0.39
"833",7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,1,0.02
"834",9.3,0.36,0.39,1.5,0.08,41,55,0.99652,3.47,0.73,10.9,1,0.39
"835",8.2,0.26,0.34,2.5,0.073,16,47,0.99594,3.4,0.78,11.3,1,0.34
"836",11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,1,0.47
"837",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,1,0.22
"838",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,0,0.06
"839",5.8,1.01,0.66,2,0.039,15,88,0.99357,3.66,0.6,11.5,1,0.66
"840",7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,0,0.32
"841",7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,0,0.06
"842",7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,0,0.06
"843",7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,0,0.07
"844",6.8,0.49,0.22,2.3,0.071,13,24,0.99438,3.41,0.83,11.3,1,0.22
"845",6.9,0.51,0.23,2,0.072,13,22,0.99438,3.4,0.84,11.2,1,0.23
"846",6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,1,0.22
"847",7.6,0.63,0.03,2,0.08,27,43,0.99578,3.44,0.64,10.9,1,0.03
"848",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,1,0.01
"849",6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,0,0.03
